fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person (Rs),Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages (in lakhs),Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure (in lakhs),Total_Exp (in Lakhs),Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages (in lakhs),Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,34,JHARKHAND,3401,RANCHI,2645536,272.8396587,41,154,2855.725158,4884,9,37739,2567293,129404,12921,947780,105686,528.76126,10389.07988,62394,73171,152928,249500,1231,353566,533062,42623,7004.59346,1236239,93,93.02,1.23,99.45,NA
2024-2025,Dec,34,JHARKHAND,3414,PAKUR,2074337,271.6350386,42,38,1141.883672,7805,0,23836,1742083,38044,3407,488397,44467,245.68145,6119.672952,41195,43954,95832,124317,505,231543,294362,31641,4732.10783,863275,97,85.34,4.51,99.77,NA
2024-2025,Dec,34,JHARKHAND,3424,KHUNTI,1250812,268.5801088,38,125,734.0721511,2181,0,21700,948074,37969,4618,629978,68855,111.68346,3392.093792,24867,29543,60991,98463,396,149689,239749,23881,2546.338181,419920,97,88.44,0.75,99.21,NA
2024-2025,Dec,34,JHARKHAND,3401,RANCHI,2645536,272.1739214,41,162,2855.725158,5205,9,37600,2596109,130785,12937,959000,105739,528.76126,10450.41809,62825,73725,153086,249738,1274,353680,533228,42805,7065.93167,1250016,93,92.87,1.26,99.48,NA
2024-2025,Dec,34,JHARKHAND,3404,SIMDEGA,2447364,275.5622759,40,144,1914.931639,7061,0,24615,1856953,178383,14737,1129078,103602,181.99712,7213.990708,46191,52497,96348,157692,1152,173171,275742,31676,5117.06195,837525,95,88.6,3.19,99.72,NA
2024-2025,Dec,34,JHARKHAND,3410,EAST SINGHBUM,2215736,268.2111294,33,141,863.5426227,8554,44,34957,1491924,58116,9543,625840,105861,254.80737,5119.856203,44906,53403,116260,223770,356,279304,496302,43511,4001.50621,820100,95,75.18,5.87,99.57,NA
2024-2025,Dec,34,JHARKHAND,3413,SAHEBGANJ,2442066,274.649445,32,149,1484.288505,4305,6,24103,1433792,42045,6750,321085,47070,234.70907,5656.899345,44750,48054,127743,160733,94,355837,436703,28408,3937.90177,719194,90,86.11,4.43,99.77,NA
2024-2025,Dec,34,JHARKHAND,3416,HAZARIBAGH,3760276,273.2004262,38,308,1731.342731,7509,16,33465,3185592,373966,35337,187003,16241,292.02573,10726.41938,82129,90799,164164,224027,724,372175,511569,40974,8703.05092,1631387,96,90.42,5.23,99.68,NA
2024-2025,Dec,34,JHARKHAND,3421,DHANBAD,2182872,268.9038257,35,133,482.5872537,11580,11,41177,1778017,138738,15936,283570,22753,247.16386,5510.906849,50149,56892,109724,152603,428,311332,402791,52757,4781.155735,847216,96,90.14,3.26,99.73,NA
2024-2025,Dec,34,JHARKHAND,3422,DEOGHAR,4917569,270.0517862,45,370,3790.451473,8301,0,33705,4549745,266491,25070,423640,29152,387.88658,16465.00569,99064,108890,195198,279856,1213,411379,597153,42006,12286.66764,2020315,93,88.73,5.13,99.87,NA
2024-2025,Nov,34,JHARKHAND,3404,SIMDEGA,2274719,275.0032813,35,129,1449.925706,5406,0,25942,1532930,147548,14650,930348,103089,146.78088,5812.314386,43591,49352,95520,156868,577,172078,274783,31348,4215.6078,691326,95,88.78,2.95,99.74,NA
2024-2025,Nov,34,JHARKHAND,3411,DUMKA,3755249,271.3966885,39,115,1494.412558,6272,0,38386,3100150,140628,11106,821289,69126,226.59069,10134.70769,78635,84995,152482,215586,250,333166,474072,44658,8413.70444,1457100,94,86.26,10.68,99.83,NA
2024-2025,Nov,34,JHARKHAND,3415,GODDA,2484195,271.6092514,36,139,1534.175478,4814,7,37960,1960551,75647,9943,393072,39895,206.6444,7065.857773,54214,59477,132352,195454,181,310014,448042,42774,5325.037895,925073,92,89.58,4.86,99.78,NA
2024-2025,Nov,34,JHARKHAND,3401,RANCHI,2458911,271.4376084,35,149,1472.383899,4362,9,38523,2111733,102608,12843,794662,105211,376.13723,7580.558679,58875,68835,151705,247970,438,352399,531725,42885,5732.03755,1013603,93,93.47,1.2,99.36,NA
2024-2025,Nov,34,JHARKHAND,3411,DUMKA,3755249,269.6696668,37,114,1494.412558,6047,0,38563,2923303,131844,11065,774343,69009,211.18169,9588.855708,77063,83236,152042,215021,209,333045,473945,44610,7883.26146,1373377,94,87.09,10.03,99.82,NA
2024-2025,Nov,34,JHARKHAND,3417,CHATRA,3533527,269.9102471,30,65,1590.05432,6615,1,41821,2824467,690471,52178,138224,9429,156.72268,9370.30286,91905,102214,160563,195987,157,276612,329504,48436,7623.52586,1432144,97,95.69,1.83,99.52,NA
2024-2025,Nov,34,JHARKHAND,3419,GIRIDIH,6750475,268.9100697,32,583,2658.194708,11856,17,71361,4220226,242868,32319,357982,35225,443.38365,14450.19104,128784,137007,284206,372668,214,658033,869675,83217,11348.61268,2231467,95,93.27,2.9,99.7,NA
2024-2025,Nov,34,JHARKHAND,3403,GUMLA,2458963,267.0854287,38,144,1926.280263,3211,1,37501,1830720,57589,6842,1073237,125373,171.36512,6987.231743,48069,54913,113837,197692,480,221137,370448,40712,4889.58636,745217,94,90.94,7.2,98.79,NA
2024-2025,Nov,34,JHARKHAND,3404,SIMDEGA,2274719,277.2078518,35,132,1449.925706,5406,0,25949,1552962,149551,14654,942885,103105,146.78088,5901.639186,43767,49557,95552,156889,595,172130,274807,31355,4304.9326,700573,95,88.7,3.03,99.7,NA
2024-2025,Nov,34,JHARKHAND,3414,PAKUR,1928006,272.6247496,39,35,1031.386889,5541,0,26569,1583612,34104,3397,437614,44295,198.88578,5547.590919,39896,42512,95338,123757,268,230821,293606,32110,4317.31825,783101,97,86.3,4.04,99.74,NA
2024-2025,Nov,34,JHARKHAND,3416,HAZARIBAGH,3495014,274.8206709,34,301,1535.825806,5713,16,35053,2670253,310810,35006,161612,16102,239.28235,9113.515366,77475,85486,162495,221982,335,370688,509902,40766,7338.40721,1361401,96,93.1,2.92,99.68,NA
2024-2025,Nov,34,JHARKHAND,3418,KODERMA,1317616,272.3417597,34,73,618.8105628,4180,5,15258,1001660,92437,9160,14686,1074,118.51809,3465.267123,28929,31851,63826,81596,83,154430,195898,19438,2727.93847,518965,90,78.33,7.37,99.24,NA
2024-2025,Nov,34,JHARKHAND,3419,GIRIDIH,6750475,269.4319403,34,594,2661.877164,12455,17,70857,4496978,260536,32481,379741,35288,476.1783,15254.35054,132257,140850,285133,373789,245,658673,870353,83312,12116.29508,2377724,95,92.93,2.93,99.71,NA
2024-2025,Nov,34,JHARKHAND,3401,RANCHI,2458911,272.6058182,37,151,1478.375685,4420,9,38525,2276650,113866,12860,847269,105377,429.76499,8114.421035,60129,70429,152143,248553,556,352704,532070,42945,6206.28036,1094711,93,93.04,1.25,99.41,NA
2024-2025,Nov,34,JHARKHAND,3402,LOHARDAGA,886252,273.6551444,35,93,625.1990339,2960,0,16152,712549,37067,4998,419356,70570,111.29008,2686.416109,20127,25907,53454,113782,240,99493,197437,19112,1949.926995,363065,96,83.59,0.15,99.8,NA
2024-2025,Nov,34,JHARKHAND,3410,EAST SINGHBUM,2059431,270.8230345,29,131,821.3218218,7542,45,34972,1270219,48950,9470,537831,105242,233.34731,4494.714772,42653,50527,115349,222249,197,278493,495230,42514,3440.04564,691854,95,77.47,5.27,99.52,NA
2024-2025,Nov,34,JHARKHAND,3411,DUMKA,3755249,271.5625735,40,117,1494.412558,6490,0,38188,3200682,145426,11117,845574,69174,226.59069,10412.85766,79318,85776,152684,215811,302,333296,474208,44678,8691.85441,1505849,94,85.83,11.04,99.84,NA
