state_name,district_name
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,NICOBARS
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,SOUTH ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN
